ticket_id,created_date,resolved_date,priority,category,channel,team,status,escalated,customer_satisfaction,customer_message
TKT-0001,2026-02-25 14:09:00,2026-02-27 07:09:00,Medium,Billing,Email,Team A,Resolved,0,4,Customer is waiting for urgent resolution and needs clear next steps.
TKT-0002,2026-01-16 00:27:00,2026-01-16 21:27:00,Medium,Login Issue,Email,Specialist Team,Closed,0,5,User cannot access account and has contacted support multiple times.
TKT-0003,2026-01-11 21:36:00,,Medium,Billing,Chat,Team A,Open,1,3,Policy related question needs accurate guidance from knowledge base.
TKT-0004,2026-01-21 10:36:00,2026-01-23 16:36:00,Medium,Policy Question,Chat,Team A,Resolved,0,3,Customer is waiting for urgent resolution and needs clear next steps.
TKT-0005,2026-01-11 12:39:00,2026-01-13 23:39:00,Low,Payment,Web Form,Team C,Resolved,0,4,User cannot access account and has contacted support multiple times.
TKT-0006,2026-02-01 00:44:00,2026-02-02 05:44:00,High,Billing,Phone,Specialist Team,Closed,1,3,Customer is waiting for urgent resolution and needs clear next steps.
TKT-0007,2026-03-29 16:26:00,2026-04-01 08:26:00,Low,Ad Review,Chat,Specialist Team,Resolved,0,3,Policy related question needs accurate guidance from knowledge base.
TKT-0008,2026-02-23 21:21:00,2026-02-24 19:21:00,Medium,Account Access,Web Form,Specialist Team,Closed,0,5,Campaign delivery problem needs technical validation.
TKT-0009,2026-01-12 10:03:00,,High,Ad Review,Web Form,Team C,Open,1,3,Billing issue requires review and possible refund investigation.
TKT-0010,2026-01-30 00:39:00,2026-01-31 14:39:00,Low,Billing,Chat,Team C,Closed,0,5,Campaign delivery problem needs technical validation.
TKT-0011,2026-03-27 01:05:00,,Low,Technical Bug,Phone,Team B,Open,1,3,Billing issue requires review and possible refund investigation.
TKT-0012,2026-03-07 06:14:00,2026-03-09 02:14:00,Low,Login Issue,Chat,Team B,Resolved,0,4,User cannot access account and has contacted support multiple times.
TKT-0013,2026-02-15 04:18:00,2026-02-17 02:18:00,Low,Technical Bug,Phone,Team C,Closed,0,4,Policy related question needs accurate guidance from knowledge base.
TKT-0014,2026-01-10 13:29:00,2026-01-11 22:29:00,High,Policy Question,Web Form,Specialist Team,Resolved,1,3,Customer is waiting for urgent resolution and needs clear next steps.
TKT-0015,2026-02-02 20:04:00,2026-02-04 03:04:00,Critical,Technical Bug,Chat,Team A,Resolved,1,2,User cannot access account and has contacted support multiple times.
TKT-0016,2026-01-18 15:23:00,2026-01-19 18:23:00,Medium,Billing,Chat,Specialist Team,Resolved,0,3,Billing issue requires review and possible refund investigation.
TKT-0017,2026-03-23 06:07:00,2026-03-26 02:07:00,Low,Technical Bug,Web Form,Specialist Team,Resolved,1,2,Billing issue requires review and possible refund investigation.
TKT-0018,2026-02-15 12:30:00,2026-02-17 05:30:00,High,Login Issue,Email,Team B,Resolved,0,3,Billing issue requires review and possible refund investigation.
TKT-0019,2026-01-16 20:44:00,2026-01-18 02:44:00,High,Account Access,Phone,Team B,Closed,1,2,Billing issue requires review and possible refund investigation.
TKT-0020,2026-02-08 09:39:00,2026-02-09 18:39:00,High,Policy Question,Chat,Team B,Closed,1,2,Campaign delivery problem needs technical validation.
TKT-0021,2026-03-03 00:46:00,2026-03-04 22:46:00,Low,Billing,Phone,Specialist Team,Resolved,0,4,Billing issue requires review and possible refund investigation.
TKT-0022,2026-03-18 15:51:00,2026-03-19 15:51:00,Critical,Ad Review,Phone,Team A,Resolved,1,3,User cannot access account and has contacted support multiple times.
TKT-0023,2026-03-24 16:39:00,2026-03-25 16:39:00,Critical,Account Access,Email,Specialist Team,Closed,1,2,Customer is waiting for urgent resolution and needs clear next steps.
TKT-0024,2026-03-08 15:50:00,2026-03-10 02:50:00,High,Login Issue,Web Form,Team B,Closed,1,2,Campaign delivery problem needs technical validation.
TKT-0025,2026-03-21 09:25:00,2026-03-22 01:25:00,High,Billing,Chat,Team B,Resolved,0,3,User cannot access account and has contacted support multiple times.
TKT-0026,2026-03-23 06:42:00,2026-03-23 08:42:00,Critical,Login Issue,Chat,Team A,Closed,0,5,Policy related question needs accurate guidance from knowledge base.
TKT-0027,2026-01-25 02:27:00,2026-01-25 20:27:00,Critical,Login Issue,Chat,Team A,Resolved,1,2,Billing issue requires review and possible refund investigation.
TKT-0028,2026-02-14 14:34:00,2026-02-16 13:34:00,Medium,Login Issue,Email,Team C,Closed,0,3,Campaign delivery problem needs technical validation.
